_id,COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
3002,Sutter,2019,Child vs. adult,18+ years,18+ years,176,23.8,
3003,Tehama,2019,Child vs. adult,18+ years,18+ years,172,40.2,
3004,Trinity,2019,Child vs. adult,18+ years,18+ years,34,37.1,
3005,Tulare,2019,Child vs. adult,18+ years,18+ years,"1,042",31,
3006,Tuolumne,2019,Child vs. adult,18+ years,18+ years,123,33,
3007,Ventura,2019,Child vs. adult,18+ years,18+ years,"1,505",23.9,
3008,Yolo,2019,Child vs. adult,18+ years,18+ years,519,31.3,
3009,Yuba,2019,Child vs. adult,18+ years,18+ years,233,41.6,
3010,California,2019,Age groups,0–4 years,0–4 years,"18,905",77,
3011,Alameda,2019,Age groups,0–4 years,0–4 years,821,84.5,
3012,Alpine,2019,Age groups,0–4 years,0–4 years,0,0,
3013,Amador,2019,Age groups,0–4 years,0–4 years,17,110.9,
3014,Butte,2019,Age groups,0–4 years,0–4 years,86,70.2,
3015,Calaveras,2019,Age groups,0–4 years,0–4 years,21,115.5,
3016,Colusa,2019,Age groups,0–4 years,0–4 years,14,90.1,
3017,Contra Costa,2019,Age groups,0–4 years,0–4 years,649,100,
3018,Del Norte,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3019,El Dorado,2019,Age groups,0–4 years,0–4 years,52,65.8,
3020,Fresno,2019,Age groups,0–4 years,0–4 years,"1,330",173.8,
3021,Glenn,2019,Age groups,0–4 years,0–4 years,19,98.8,
3022,Humboldt,2019,Age groups,0–4 years,0–4 years,39,52.3,
3023,Imperial,2019,Age groups,0–4 years,0–4 years,121,75.6,
3024,Inyo,2019,Age groups,0–4 years,0–4 years,13,129.2,
3025,Kern,2019,Age groups,0–4 years,0–4 years,619,89.1,
3026,Kings,2019,Age groups,0–4 years,0–4 years,136,119.5,
3027,Lake,2019,Age groups,0–4 years,0–4 years,35,95.6,
3028,Lassen,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3029,Los Angeles,2019,Age groups,0–4 years,0–4 years,"5,401",88.5,
3030,Madera,2019,Age groups,0–4 years,0–4 years,168,149.5,
3031,Marin,2019,Age groups,0–4 years,0–4 years,52,45.4,
3032,Mariposa,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3033,Mendocino,2019,Age groups,0–4 years,0–4 years,50,99.5,
3034,Merced,2019,Age groups,0–4 years,0–4 years,221,107.1,
3035,Modoc,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3036,Mono,2019,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
3037,Monterey,2019,Age groups,0–4 years,0–4 years,192,61.2,
3038,Napa,2019,Age groups,0–4 years,0–4 years,55,76.3,
3039,Nevada,2019,Age groups,0–4 years,0–4 years,22,53.6,
3040,Orange,2019,Age groups,0–4 years,0–4 years,"1,055",56.2,
3041,Placer,2019,Age groups,0–4 years,0–4 years,118,62.9,
3042,Plumas,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3043,Riverside,2019,Age groups,0–4 years,0–4 years,967,61.7,
3044,Sacramento,2019,Age groups,0–4 years,0–4 years,811,82.7,
3045,San Benito,2019,Age groups,0–4 years,0–4 years,29,78,
3046,San Bernardino,2019,Age groups,0–4 years,0–4 years,"1,023",67.3,
3047,San Diego,2019,Age groups,0–4 years,0–4 years,"1,414",64.1,
3048,San Francisco,2019,Age groups,0–4 years,0–4 years,344,78.8,
3049,San Joaquin,2019,Age groups,0–4 years,0–4 years,495,94.1,
3050,San Luis Obispo,2019,Age groups,0–4 years,0–4 years,64,48.6,
3051,San Mateo,2019,Age groups,0–4 years,0–4 years,208,46.4,
3052,Santa Barbara,2019,Age groups,0–4 years,0–4 years,85,30.5,
3053,Santa Clara,2019,Age groups,0–4 years,0–4 years,463,39.2,
3054,Santa Cruz,2019,Age groups,0–4 years,0–4 years,65,43.1,
3055,Shasta,2019,Age groups,0–4 years,0–4 years,49,49.1,
3056,Sierra,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3057,Siskiyou,2019,Age groups,0–4 years,0–4 years,14,62.6,
3058,Solano,2019,Age groups,0–4 years,0–4 years,295,111.9,
3059,Sonoma,2019,Age groups,0–4 years,0–4 years,121,47.7,
3060,Stanislaus,2019,Age groups,0–4 years,0–4 years,275,70.3,
3061,Sutter,2019,Age groups,0–4 years,0–4 years,36,52.7,
3062,Tehama,2019,Age groups,0–4 years,0–4 years,26,60.2,
3063,Trinity,2019,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3064,Tulare,2019,Age groups,0–4 years,0–4 years,375,101.4,
3065,Tuolumne,2019,Age groups,0–4 years,0–4 years,17,76.9,
3066,Ventura,2019,Age groups,0–4 years,0–4 years,277,55.4,
3067,Yolo,2019,Age groups,0–4 years,0–4 years,63,50.6,
3068,Yuba,2019,Age groups,0–4 years,0–4 years,33,56.8,
3069,California,2019,Age groups,5–17 years,5–17 years,"39,562",58.4,
3070,Alameda,2019,Age groups,5–17 years,5–17 years,"1,497",59.1,
3071,Alpine,2019,Age groups,5–17 years,5–17 years,0,0,
3072,Amador,2019,Age groups,5–17 years,5–17 years,26,66.9,
3073,Butte,2019,Age groups,5–17 years,5–17 years,110,32.8,
3074,Calaveras,2019,Age groups,5–17 years,5–17 years,43,84,
3075,Colusa,2019,Age groups,5–17 years,5–17 years,28,63.8,
3076,Contra Costa,2019,Age groups,5–17 years,5–17 years,"1,311",72.3,
3077,Del Norte,2019,Age groups,5–17 years,5–17 years,29,68.3,
3078,El Dorado,2019,Age groups,5–17 years,5–17 years,85,33.3,
3079,Fresno,2019,Age groups,5–17 years,5–17 years,"2,256",108.4,
3080,Glenn,2019,Age groups,5–17 years,5–17 years,32,58.9,
3081,Humboldt,2019,Age groups,5–17 years,5–17 years,90,42.6,
3082,Imperial,2019,Age groups,5–17 years,5–17 years,500,125,
3083,Inyo,2019,Age groups,5–17 years,5–17 years,21,68.8,
3084,Kern,2019,Age groups,5–17 years,5–17 years,"1,183",63,
3085,Kings,2019,Age groups,5–17 years,5–17 years,240,68.6,
3086,Lake,2019,Age groups,5–17 years,5–17 years,90,89,
3087,Lassen,2019,Age groups,5–17 years,5–17 years,15,40.1,
3088,Los Angeles,2019,Age groups,5–17 years,5–17 years,"11,784",70.4,
3089,Madera,2019,Age groups,5–17 years,5–17 years,273,88.8,
3090,Marin,2019,Age groups,5–17 years,5–17 years,104,27.2,
3091,Mariposa,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3092,Mendocino,2019,Age groups,5–17 years,5–17 years,74,52.4,
3093,Merced,2019,Age groups,5–17 years,5–17 years,507,85.9,
3094,Modoc,2019,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
3095,Mono,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3096,Monterey,2019,Age groups,5–17 years,5–17 years,489,57.6,
3097,Napa,2019,Age groups,5–17 years,5–17 years,94,45.1,
3098,Nevada,2019,Age groups,5–17 years,5–17 years,33,28.3,
3099,Orange,2019,Age groups,5–17 years,5–17 years,"2,037",38.6,
3100,Placer,2019,Age groups,5–17 years,5–17 years,224,41.4,
3101,Plumas,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3102,Riverside,2019,Age groups,5–17 years,5–17 years,"2,393",54.4,
3103,Sacramento,2019,Age groups,5–17 years,5–17 years,"1,885",71.4,
3104,San Benito,2019,Age groups,5–17 years,5–17 years,87,85.6,
3105,San Bernardino,2019,Age groups,5–17 years,5–17 years,"2,723",63.9,
3106,San Diego,2019,Age groups,5–17 years,5–17 years,"2,336",39,
3107,San Francisco,2019,Age groups,5–17 years,5–17 years,468,49.4,
3108,San Joaquin,2019,Age groups,5–17 years,5–17 years,"1,030",69.4,
3109,San Luis Obispo,2019,Age groups,5–17 years,5–17 years,178,47.2,
3110,San Mateo,2019,Age groups,5–17 years,5–17 years,339,28.8,
3111,Santa Barbara,2019,Age groups,5–17 years,5–17 years,334,44.4,
3112,Santa Clara,2019,Age groups,5–17 years,5–17 years,880,26.7,
3113,Santa Cruz,2019,Age groups,5–17 years,5–17 years,159,34.8,
3114,Shasta,2019,Age groups,5–17 years,5–17 years,120,43.5,
3115,Sierra,2019,Age groups,5–17 years,5–17 years,0,0,
3116,Siskiyou,2019,Age groups,5–17 years,5–17 years,27,42,
3117,Solano,2019,Age groups,5–17 years,5–17 years,636,86.8,
3118,Sonoma,2019,Age groups,5–17 years,5–17 years,290,41.7,
3119,Stanislaus,2019,Age groups,5–17 years,5–17 years,801,74.4,
3120,Sutter,2019,Age groups,5–17 years,5–17 years,62,34.4,
3121,Tehama,2019,Age groups,5–17 years,5–17 years,76,69.3,
3122,Trinity,2019,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3123,Tulare,2019,Age groups,5–17 years,5–17 years,579,54.3,
3124,Tuolumne,2019,Age groups,5–17 years,5–17 years,46,74.8,
3125,Ventura,2019,Age groups,5–17 years,5–17 years,631,44,
3126,Yolo,2019,Age groups,5–17 years,5–17 years,161,41.1,
3127,Yuba,2019,Age groups,5–17 years,5–17 years,62,39.4,
3128,California,2019,Age groups,18–64 years,18–64 years,"93,474",38.1,
3129,Alameda,2019,Age groups,18–64 years,18–64 years,"4,352",40.4,
3130,Alpine,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3131,Amador,2019,Age groups,18–64 years,18–64 years,101,48.3,
3132,Butte,2019,Age groups,18–64 years,18–64 years,515,38,
3133,Calaveras,2019,Age groups,18–64 years,18–64 years,120,53.9,
3134,Colusa,2019,Age groups,18–64 years,18–64 years,51,38.1,
3135,Contra Costa,2019,Age groups,18–64 years,18–64 years,"3,388",48.7,
3136,Del Norte,2019,Age groups,18–64 years,18–64 years,76,51.9,
3137,El Dorado,2019,Age groups,18–64 years,18–64 years,334,33.7,
3138,Fresno,2019,Age groups,18–64 years,18–64 years,"2,632",43.8,
3139,Glenn,2019,Age groups,18–64 years,18–64 years,52,28.5,
3140,Humboldt,2019,Age groups,18–64 years,18–64 years,440,55.6,
3141,Imperial,2019,Age groups,18–64 years,18–64 years,509,45.4,
3142,Inyo,2019,Age groups,18–64 years,18–64 years,55,57,
3143,Kern,2019,Age groups,18–64 years,18–64 years,"2,258",41.3,
3144,Kings,2019,Age groups,18–64 years,18–64 years,349,40.1,
3145,Lake,2019,Age groups,18–64 years,18–64 years,342,102.3,
3146,Lassen,2019,Age groups,18–64 years,18–64 years,75,39.5,
3147,Los Angeles,2019,Age groups,18–64 years,18–64 years,"25,878",39.9,
3148,Madera,2019,Age groups,18–64 years,18–64 years,290,31.3,
3149,Marin,2019,Age groups,18–64 years,18–64 years,299,20.5,
3150,Mariposa,2019,Age groups,18–64 years,18–64 years,37,38,
3151,Mendocino,2019,Age groups,18–64 years,18–64 years,325,66.3,
3152,Merced,2019,Age groups,18–64 years,18–64 years,891,53.7,
3153,Modoc,2019,Age groups,18–64 years,18–64 years,54,116.5,
3154,Mono,2019,Age groups,18–64 years,18–64 years,30,40.7,
3155,Monterey,2019,Age groups,18–64 years,18–64 years,844,31,
3156,Napa,2019,Age groups,18–64 years,18–64 years,265,31.1,
3157,Nevada,2019,Age groups,18–64 years,18–64 years,139,27.8,
3158,Orange,2019,Age groups,18–64 years,18–64 years,"4,377",22,
3159,Placer,2019,Age groups,18–64 years,18–64 years,583,25.8,
3160,Plumas,2019,Age groups,18–64 years,18–64 years,65,66.5,
3161,Riverside,2019,Age groups,18–64 years,18–64 years,"5,316",36.6,
3162,Sacramento,2019,Age groups,18–64 years,18–64 years,"5,688",59.6,
3163,San Benito,2019,Age groups,18–64 years,18–64 years,198,56.8,
3164,San Bernardino,2019,Age groups,18–64 years,18–64 years,"6,503",48.2,
3165,San Diego,2019,Age groups,18–64 years,18–64 years,"5,221",25.7,
3166,San Francisco,2019,Age groups,18–64 years,18–64 years,"1,543",25.7,
3167,San Joaquin,2019,Age groups,18–64 years,18–64 years,"2,552",55.9,
3168,San Luis Obispo,2019,Age groups,18–64 years,18–64 years,420,27.2,
3169,San Mateo,2019,Age groups,18–64 years,18–64 years,"1,144",23.5,
3170,Santa Barbara,2019,Age groups,18–64 years,18–64 years,688,24.7,
3171,Santa Clara,2019,Age groups,18–64 years,18–64 years,"2,734",22.1,
3172,Santa Cruz,2019,Age groups,18–64 years,18–64 years,488,28.4,
3173,Shasta,2019,Age groups,18–64 years,18–64 years,419,43.5,
3174,Sierra,2019,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
3175,Siskiyou,2019,Age groups,18–64 years,18–64 years,98,44,
3176,Solano,2019,Age groups,18–64 years,18–64 years,"1,789",67.2,
3177,Sonoma,2019,Age groups,18–64 years,18–64 years,863,28.8,
3178,Stanislaus,2019,Age groups,18–64 years,18–64 years,"1,632",48.9,
3179,Sutter,2019,Age groups,18–64 years,18–64 years,147,24.8,
3180,Tehama,2019,Age groups,18–64 years,18–64 years,164,47.1,
3181,Trinity,2019,Age groups,18–64 years,18–64 years,28,41.9,
3182,Tulare,2019,Age groups,18–64 years,18–64 years,930,33.3,
3183,Tuolumne,2019,Age groups,18–64 years,18–64 years,102,37,
3184,Ventura,2019,Age groups,18–64 years,18–64 years,"1,296",25.7,
3185,Yolo,2019,Age groups,18–64 years,18–64 years,443,32.2,
3186,Yuba,2019,Age groups,18–64 years,18–64 years,206,44.7,
3187,California,2019,Age groups,65+ years,65+ years,"13,508",22.1,
3188,Alameda,2019,Age groups,65+ years,65+ years,778,31.6,
3189,Alpine,2019,Age groups,65+ years,65+ years,0,0,
3190,Amador,2019,Age groups,65+ years,65+ years,25,24.5,
3191,Butte,2019,Age groups,65+ years,65+ years,42,9,
3192,Calaveras,2019,Age groups,65+ years,65+ years,15,10.6,
3193,Colusa,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3194,Contra Costa,2019,Age groups,65+ years,65+ years,562,28.5,
3195,Del Norte,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3196,El Dorado,2019,Age groups,65+ years,65+ years,68,16.5,
3197,Fresno,2019,Age groups,65+ years,65+ years,374,29.4,
3198,Glenn,2019,Age groups,65+ years,65+ years,15,32.6,
3199,Humboldt,2019,Age groups,65+ years,65+ years,45,16.3,
3200,Imperial,2019,Age groups,65+ years,65+ years,68,27.2,
3201,Inyo,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3202,Kern,2019,Age groups,65+ years,65+ years,225,21,
3203,Kings,2019,Age groups,65+ years,65+ years,28,15.7,
3204,Lake,2019,Age groups,65+ years,65+ years,43,27.2,
3205,Lassen,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3206,Los Angeles,2019,Age groups,65+ years,65+ years,"3,741",24.6,
3207,Madera,2019,Age groups,65+ years,65+ years,50,21.5,
3208,Marin,2019,Age groups,65+ years,65+ years,85,13.5,
3209,Mariposa,2019,Age groups,65+ years,65+ years,15,28.7,
3210,Mendocino,2019,Age groups,65+ years,65+ years,40,19.2,
3211,Merced,2019,Age groups,65+ years,65+ years,71,21.6,
3212,Modoc,2019,Age groups,65+ years,65+ years,0,0,
3213,Mono,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3214,Monterey,2019,Age groups,65+ years,65+ years,109,17,
3215,Napa,2019,Age groups,65+ years,65+ years,83,30.3,
3216,Nevada,2019,Age groups,65+ years,65+ years,24,8.2,
3217,Orange,2019,Age groups,65+ years,65+ years,852,17.1,
3218,Placer,2019,Age groups,65+ years,65+ years,113,13.7,
3219,Plumas,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3220,Riverside,2019,Age groups,65+ years,65+ years,581,15.2,
3221,Sacramento,2019,Age groups,65+ years,65+ years,627,27.6,
3222,San Benito,2019,Age groups,65+ years,65+ years,27,32.2,
3223,San Bernardino,2019,Age groups,65+ years,65+ years,653,24.5,
3224,San Diego,2019,Age groups,65+ years,65+ years,902,17.6,
3225,San Francisco,2019,Age groups,65+ years,65+ years,318,20.7,
3226,San Joaquin,2019,Age groups,65+ years,65+ years,313,30.5,
3227,San Luis Obispo,2019,Age groups,65+ years,65+ years,102,16.4,
3228,San Mateo,2019,Age groups,65+ years,65+ years,296,21.6,
3229,Santa Barbara,2019,Age groups,65+ years,65+ years,121,17.1,
3230,Santa Clara,2019,Age groups,65+ years,65+ years,578,19.7,
3231,Santa Cruz,2019,Age groups,65+ years,65+ years,85,18.7,
3232,Shasta,2019,Age groups,65+ years,65+ years,44,11.5,
3233,Sierra,2019,Age groups,65+ years,65+ years,0,0,
3234,Siskiyou,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3235,Solano,2019,Age groups,65+ years,65+ years,272,36.1,
3236,Sonoma,2019,Age groups,65+ years,65+ years,215,20.8,
3237,Stanislaus,2019,Age groups,65+ years,65+ years,184,23.7,
3238,Sutter,2019,Age groups,65+ years,65+ years,29,18.6,
3239,Tehama,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3240,Trinity,2019,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
3241,Tulare,2019,Age groups,65+ years,65+ years,112,19.6,
3242,Tuolumne,2019,Age groups,65+ years,65+ years,21,13.7,
3243,Ventura,2019,Age groups,65+ years,65+ years,209,15.1,
3244,Yolo,2019,Age groups,65+ years,65+ years,76,26.7,
3245,Yuba,2019,Age groups,65+ years,65+ years,27,26.8,
3246,California,2019,Race/ethnicity,White,All ages,"40,733",30.1,
3247,Alameda,2019,Race/ethnicity,White,All ages,"1,132",21.5,
3248,Alpine,2019,Race/ethnicity,White,All ages,0,0,
3249,Amador,2019,Race/ethnicity,White,All ages,141,56.9,
3250,Butte,2019,Race/ethnicity,White,All ages,502,36.4,
3251,Calaveras,2019,Race/ethnicity,White,All ages,155,58,
3252,Colusa,2019,Race/ethnicity,White,All ages,28,46.3,
3253,Contra Costa,2019,Race/ethnicity,White,All ages,"1,371",29.1,
3254,Del Norte,2019,Race/ethnicity,White,All ages,74,57.9,
3255,El Dorado,2019,Race/ethnicity,White,All ages,422,37.4,
3256,Fresno,2019,Race/ethnicity,White,All ages,"1,132",43.8,
3257,Glenn,2019,Race/ethnicity,White,All ages,46,31.5,
3258,Humboldt,2019,Race/ethnicity,White,All ages,382,41.8,
3259,Imperial,2019,Race/ethnicity,White,All ages,111,70.3,
3260,Inyo,2019,Race/ethnicity,White,All ages,49,68.4,
3261,Kern,2019,Race/ethnicity,White,All ages,"1,062",38.1,
3262,Kings,2019,Race/ethnicity,White,All ages,213,50.9,
3263,Lake,2019,Race/ethnicity,White,All ages,321,84.6,
3264,Lassen,2019,Race/ethnicity,White,All ages,64,33.4,
3265,Los Angeles,2019,Race/ethnicity,White,All ages,"6,323",25.2,
3266,Madera,2019,Race/ethnicity,White,All ages,174,44.5,
3267,Marin,2019,Race/ethnicity,White,All ages,281,17.7,
3268,Mariposa,2019,Race/ethnicity,White,All ages,52,35.1,
3269,Mendocino,2019,Race/ethnicity,White,All ages,288,62.2,
3270,Merced,2019,Race/ethnicity,White,All ages,391,61.5,
3271,Modoc,2019,Race/ethnicity,White,All ages,41,78.3,
3272,Mono,2019,Race/ethnicity,White,All ages,18,26.7,
3273,Monterey,2019,Race/ethnicity,White,All ages,291,24.3,
3274,Napa,2019,Race/ethnicity,White,All ages,209,33.9,
3275,Nevada,2019,Race/ethnicity,White,All ages,176,28.2,
3276,Orange,2019,Race/ethnicity,White,All ages,"2,979",24.9,
3277,Placer,2019,Race/ethnicity,White,All ages,678,27.2,
3278,Plumas,2019,Race/ethnicity,White,All ages,70,55.4,
3279,Riverside,2019,Race/ethnicity,White,All ages,"2,571",34.4,
3280,Sacramento,2019,Race/ethnicity,White,All ages,"2,461",38.4,
3281,San Benito,2019,Race/ethnicity,White,All ages,70,42,
3282,San Bernardino,2019,Race/ethnicity,White,All ages,"2,542",46.6,
3283,San Diego,2019,Race/ethnicity,White,All ages,"2,750",18.8,
3284,San Francisco,2019,Race/ethnicity,White,All ages,595,17.2,
3285,San Joaquin,2019,Race/ethnicity,White,All ages,"1,013",48.9,
3286,San Luis Obispo,2019,Race/ethnicity,White,All ages,450,28.7,
3287,San Mateo,2019,Race/ethnicity,White,All ages,566,18.6,
3288,Santa Barbara,2019,Race/ethnicity,White,All ages,413,23.8,
3289,Santa Clara,2019,Race/ethnicity,White,All ages,"1,060",17.1,
3290,Santa Cruz,2019,Race/ethnicity,White,All ages,411,26.7,
3291,Shasta,2019,Race/ethnicity,White,All ages,486,39.8,
3292,Sierra,2019,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3293,Siskiyou,2019,Race/ethnicity,White,All ages,105,39.3,
3294,Solano,2019,Race/ethnicity,White,All ages,793,51.8,
3295,Sonoma,2019,Race/ethnicity,White,All ages,785,26.3,
3296,Stanislaus,2019,Race/ethnicity,White,All ages,999,49.5,
3297,Sutter,2019,Race/ethnicity,White,All ages,123,30.3,
3298,Tehama,2019,Race/ethnicity,White,All ages,146,41.8,
3299,Trinity,2019,Race/ethnicity,White,All ages,42,47.4,
3300,Tulare,2019,Race/ethnicity,White,All ages,438,40.2,
3301,Tuolumne,2019,Race/ethnicity,White,All ages,158,49.7,
3302,Ventura,2019,Race/ethnicity,White,All ages,"1,001",31.9,
3303,Yolo,2019,Race/ethnicity,White,All ages,265,30.2,
3304,Yuba,2019,Race/ethnicity,White,All ages,176,41.9,
3305,California,2019,Race/ethnicity,Black,All ages,"33,458",153.2,
3306,Alameda,2019,Race/ethnicity,Black,All ages,"2,779",156.8,
3307,Alpine,2019,Race/ethnicity,Black,All ages,0,0,
3308,Amador,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3309,Butte,2019,Race/ethnicity,Black,All ages,83,227.1,
3310,Calaveras,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3311,Colusa,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3312,Contra Costa,2019,Race/ethnicity,Black,All ages,"1,839",180.5,
3313,Del Norte,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3314,El Dorado,2019,Race/ethnicity,Black,All ages,19,101.1,
3315,Fresno,2019,Race/ethnicity,Black,All ages,982,195.1,
3316,Glenn,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3317,Humboldt,2019,Race/ethnicity,Black,All ages,52,388.9,
3318,Imperial,2019,Race/ethnicity,Black,All ages,25,87,
3319,Inyo,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3320,Kern,2019,Race/ethnicity,Black,All ages,917,181.5,
3321,Kings,2019,Race/ethnicity,Black,All ages,86,112.6,
3322,Lake,2019,Race/ethnicity,Black,All ages,31,390.3,
3323,Lassen,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3324,Los Angeles,2019,Race/ethnicity,Black,All ages,"11,427",153.1,
3325,Madera,2019,Race/ethnicity,Black,All ages,41,132.9,
3326,Marin,2019,Race/ethnicity,Black,All ages,79,116.7,
3327,Mariposa,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3328,Mendocino,2019,Race/ethnicity,Black,All ages,31,442.6,
3329,Merced,2019,Race/ethnicity,Black,All ages,178,204,
3330,Modoc,2019,Race/ethnicity,Black,All ages,0,0,
3331,Mono,2019,Race/ethnicity,Black,All ages,0,0,
3332,Monterey,2019,Race/ethnicity,Black,All ages,74,79.7,
3333,Napa,2019,Race/ethnicity,Black,All ages,27,116.9,
3334,Nevada,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3335,Orange,2019,Race/ethnicity,Black,All ages,490,104.3,
3336,Placer,2019,Race/ethnicity,Black,All ages,47,110.9,
3337,Plumas,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3338,Riverside,2019,Race/ethnicity,Black,All ages,"1,811",124.3,
3339,Sacramento,2019,Race/ethnicity,Black,All ages,"2,961",185.2,
3340,San Benito,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3341,San Bernardino,2019,Race/ethnicity,Black,All ages,"2,530",129.5,
3342,San Diego,2019,Race/ethnicity,Black,All ages,"1,398",95.9,
3343,San Francisco,2019,Race/ethnicity,Black,All ages,757,191.6,
3344,San Joaquin,2019,Race/ethnicity,Black,All ages,"1,078",188.2,
3345,San Luis Obispo,2019,Race/ethnicity,Black,All ages,45,90.1,
3346,San Mateo,2019,Race/ethnicity,Black,All ages,93,50,
3347,Santa Barbara,2019,Race/ethnicity,Black,All ages,76,111,
3348,Santa Clara,2019,Race/ethnicity,Black,All ages,412,89.5,
3349,Santa Cruz,2019,Race/ethnicity,Black,All ages,11,,Rate not available due to statistical instability
3350,Shasta,2019,Race/ethnicity,Black,All ages,33,194.9,
3351,Sierra,2019,Race/ethnicity,Black,All ages,0,0,
3352,Siskiyou,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3353,Solano,2019,Race/ethnicity,Black,All ages,"1,036",174.9,
3354,Sonoma,2019,Race/ethnicity,Black,All ages,108,150.9,
3355,Stanislaus,2019,Race/ethnicity,Black,All ages,262,167.3,
3356,Sutter,2019,Race/ethnicity,Black,All ages,18,94.6,
3357,Tehama,2019,Race/ethnicity,Black,All ages,11,,Rate not available due to statistical instability
3358,Trinity,2019,Race/ethnicity,Black,All ages,0,0,
3359,Tulare,2019,Race/ethnicity,Black,All ages,99,183.4,
3360,Tuolumne,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
3361,Ventura,2019,Race/ethnicity,Black,All ages,117,96.5,
3362,Yolo,2019,Race/ethnicity,Black,All ages,91,150.5,
3363,Yuba,2019,Race/ethnicity,Black,All ages,42,176.1,
3364,California,2019,Race/ethnicity,Hispanic,All ages,"70,432",42.3,
3365,Alameda,2019,Race/ethnicity,Hispanic,All ages,"1,798",45.4,
3366,Alpine,2019,Race/ethnicity,Hispanic,All ages,0,0,
3367,Amador,2019,Race/ethnicity,Hispanic,All ages,20,42.3,
3368,Butte,2019,Race/ethnicity,Hispanic,All ages,107,24.4,
3369,Calaveras,2019,Race/ethnicity,Hispanic,All ages,22,37.6,
3370,Colusa,2019,Race/ethnicity,Hispanic,All ages,67,44.2,
3371,Contra Costa,2019,Race/ethnicity,Hispanic,All ages,"1,823",58.1,
3372,Del Norte,2019,Race/ethnicity,Hispanic,All ages,20,63.4,
3373,El Dorado,2019,Race/ethnicity,Hispanic,All ages,60,20.1,
3374,Fresno,2019,Race/ethnicity,Hispanic,All ages,"4,003",66,
3375,Glenn,2019,Race/ethnicity,Hispanic,All ages,50,41,
3376,Humboldt,2019,Race/ethnicity,Hispanic,All ages,69,38.2,
3377,Imperial,2019,Race/ethnicity,Hispanic,All ages,"1,042",60,
3378,Inyo,2019,Race/ethnicity,Hispanic,All ages,24,42.8,
